id,dataTaskId,providingCompanyCustomerId,companyCustomerId,companyCustomerScheme,dateEnd,state
101283,159,4529594001,,,2023-12-26T15:00:20.7832548,Failed
101288,159,0100008402,,,2023-12-26T15:00:20.7832548,Failed
101293,159,4534929001,,,2023-12-14T15:00:16.968424,Failed
101297,159,3838558001,,,2023-12-26T15:00:20.7832548,Failed
101302,159,4200079001,,,2023-12-26T15:00:20.7832548,Failed
101306,159,3950005722,,,2023-12-26T15:00:20.7832548,Failed
101311,159,4030602001,,,2023-12-26T15:00:20.7832548,Failed
101316,159,4384002001,,,2023-12-26T15:00:20.7832548,Failed
101321,159,4372194001,,,2023-12-26T15:00:20.7832548,Failed
101325,159,3950006289,,,2023-12-26T15:00:20.7832548,Failed
101332,159,3950003469,,,2023-12-26T15:00:20.7832548,Failed
101337,159,3950004533,,,2023-12-26T15:00:20.7832548,Failed
101345,159,3950004450,,,2023-12-26T15:00:20.7832548,Failed
101351,159,3950004532,,,2023-12-26T15:00:20.7832548,Failed
101365,159,4347102001,,,2023-12-26T15:00:20.7832548,Failed
101370,159,3837291001,,,2023-12-26T15:00:20.7832548,Failed
101374,159,0770009347,,,2023-12-26T15:00:20.7832548,Failed
101380,159,0770009219,,,2023-12-26T15:00:20.7832548,Failed
101386,159,4154646001,,,2023-12-26T15:00:20.7832548,Failed
101390,159,3812154001,,,2023-12-26T15:00:20.7832548,Failed
101395,159,3812154002,,,2023-12-26T15:00:20.7832548,Failed
101399,159,4352550001,,,2023-12-26T15:00:20.7832548,Failed
101404,159,3815415001,,,2023-12-26T15:00:20.7832548,Failed
101409,159,2534038801,,,2023-12-26T15:00:20.7832548,Failed
101414,159,2534045301,,,2023-12-26T15:00:20.7832548,Failed
101419,159,2534043801,,,2023-12-26T15:00:20.7832548,Failed
101422,159,2534044101,,,2023-12-26T15:00:20.7832548,Failed
101427,159,2534044201,,,2023-12-26T15:00:20.7832548,Failed
101432,159,2534044601,,,2023-12-26T15:00:20.7832548,Failed
101436,159,2534044701,,,2023-12-26T15:00:20.7832548,Failed
101441,159,2534044901,,,2023-12-26T15:00:20.7832548,Failed
101446,159,2534045001,,,2023-12-26T15:00:20.7832548,Failed
101451,159,2534045101,,,2023-12-26T15:00:20.7832548,Failed
101455,159,2534045401,,,2023-12-26T15:00:20.7832548,Failed
101460,159,2534043301,,,2023-12-26T15:00:20.7832548,Failed
101464,159,2534045501,,,2023-12-26T15:00:20.7832548,Failed
101469,159,2534045701,,,2023-12-26T15:00:20.7832548,Failed
101476,159,2534045801,,,2023-12-26T15:00:20.7832548,Failed
101480,159,2534045901,,,2023-12-26T15:00:20.7832548,Failed
101485,159,2534046001,,,2023-12-26T15:00:20.7832548,Failed
101489,159,2534046101,,,2023-12-26T15:00:20.7832548,Failed
101494,159,2534046201,,,2023-12-26T15:00:20.7832548,Failed
101498,159,2534046401,,,2023-12-26T15:00:20.7832548,Failed
101503,159,2534043401,,,2023-12-26T15:00:20.7832548,Failed
101508,159,2534043101,,,2023-12-26T15:00:20.7832548,Failed
101514,159,2534039001,,,2023-12-26T15:00:20.7832548,Failed
101518,159,2534040401,,,2023-12-26T15:00:20.7832548,Failed
101522,159,2534039101,,,2023-12-26T15:00:20.7832548,Failed
101528,159,2534039201,,,2023-12-26T15:00:20.7832548,Failed
101533,159,2534039301,,,2023-12-26T15:00:20.7832548,Failed
101538,159,2534039501,,,2023-12-26T15:00:20.7832548,Failed
101543,159,2534039601,,,2023-12-26T15:00:20.7832548,Failed
101550,159,2534039701,,,2023-12-26T15:00:20.7832548,Failed
101554,159,2534039801,,,2023-12-26T15:00:20.7832548,Failed
101559,159,2534040201,,,2023-12-26T15:00:20.7832548,Failed
101565,159,2534041201,,,2023-12-26T15:00:20.7832548,Failed
101570,159,2534042601,,,2023-12-26T15:00:20.7832548,Failed
101576,159,2534041401,,,2023-12-26T15:00:20.7832548,Failed
101581,159,2534041801,,,2023-12-26T15:00:20.7832548,Failed
101586,159,2534041901,,,2023-12-26T15:00:20.7832548,Failed
101590,159,2534042001,,,2023-12-26T15:00:20.7832548,Failed
